game,gameLabel,genreLabel,esrbRatingLabel,pegiRatingLabel,year
http://www.wikidata.org/entity/Q133570434,SaGa Frontier 2 Remastered,пошаговая ролевая игра,для всех старше 10 лет,,2025
http://www.wikidata.org/entity/Q133804475,Donkey Kong Bananza,3D-платформер,для всех старше 10 лет,PEGI 7,2025
http://www.wikidata.org/entity/Q133804482,Kirby Air Riders,гоночная игра,для всех старше 10 лет,PEGI 7,2025
http://www.wikidata.org/entity/Q133804482,Kirby Air Riders,mascot racer,для всех старше 10 лет,PEGI 7,2025
http://www.wikidata.org/entity/Q133807492,Puyo Puyo Tetris 2S,головоломка,для всех старше 10 лет,,2025
http://www.wikidata.org/entity/Q133844699,Syder Reloaded,shoot ’em up,для всех старше 10 лет,,2025
http://www.wikidata.org/entity/Q135059404,Heian City Story,стратегическая компьютерная игра,для всех старше 10 лет,,2025
http://www.wikidata.org/entity/Q135059404,Heian City Story,казуальная игра,для всех старше 10 лет,,2025
http://www.wikidata.org/entity/Q135059404,Heian City Story,симулятор,для всех старше 10 лет,,2025
http://www.wikidata.org/entity/Q135528871,Plants vs. Zombies: Replanted,tower defense,для всех старше 10 лет,,2025
http://www.wikidata.org/entity/Q135572058,SpongeBob SquarePants: Titans of the Tide,приключенческий экшен,для всех старше 10 лет,,2025
http://www.wikidata.org/entity/Q135572058,SpongeBob SquarePants: Titans of the Tide,платформер,для всех старше 10 лет,,2025
http://www.wikidata.org/entity/Q135652812,D-Day,вертикальный скролл-шутер,для всех старше 10 лет,,2025
http://www.wikidata.org/entity/Q386632,Warzone 2100,стратегия в реальном времени,Teen,,2025
http://www.wikidata.org/entity/Q386632,Warzone 2100,стратегическая компьютерная игра,Teen,,2025
http://www.wikidata.org/entity/Q386632,Warzone 2100,научно-фантастическая компьютерная игра,Teen,,2025
http://www.wikidata.org/entity/Q386632,Warzone 2100,постапокалиптическая компьютерная игра,Teen,,2025
http://www.wikidata.org/entity/Q107183143,Totally Reliable Delivery Service,симулятор,для всех старше 10 лет,,2025
http://www.wikidata.org/entity/Q107183143,Totally Reliable Delivery Service,fumblecore,для всех старше 10 лет,,2025
http://www.wikidata.org/entity/Q107822614,Solitaire Poker,головоломка,для всех старше 10 лет,,2025
http://www.wikidata.org/entity/Q108799804,Cat Girl Without Salad: Amuse-Bouche,приключенческая компьютерная игра,для всех старше 10 лет,,2025
http://www.wikidata.org/entity/Q108799804,Cat Girl Without Salad: Amuse-Bouche,экшен,для всех старше 10 лет,,2025
http://www.wikidata.org/entity/Q108799804,Cat Girl Without Salad: Amuse-Bouche,приключенческий экшен,для всех старше 10 лет,,2025
http://www.wikidata.org/entity/Q108799804,Cat Girl Without Salad: Amuse-Bouche,стратегическая компьютерная игра,для всех старше 10 лет,,2025
http://www.wikidata.org/entity/Q108799804,Cat Girl Without Salad: Amuse-Bouche,компьютерная ролевая игра,для всех старше 10 лет,,2025
http://www.wikidata.org/entity/Q108799804,Cat Girl Without Salad: Amuse-Bouche,гоночная игра,для всех старше 10 лет,,2025
http://www.wikidata.org/entity/Q108799804,Cat Girl Without Salad: Amuse-Bouche,спортивная компьютерная игра,для всех старше 10 лет,,2025
http://www.wikidata.org/entity/Q108799804,Cat Girl Without Salad: Amuse-Bouche,казуальная игра,для всех старше 10 лет,,2025
http://www.wikidata.org/entity/Q65059474,Genshin Impact,компьютерная ролевая игра,Teen,PEGI 12,2025
http://www.wikidata.org/entity/Q65059474,Genshin Impact,action RPG,Teen,PEGI 12,2025
http://www.wikidata.org/entity/Q65059474,Genshin Impact,гача-игра,Teen,PEGI 12,2025
http://www.wikidata.org/entity/Q65123089,One Piece: Pirate Warriors 4,приключенческий экшен,Teen,,2025
http://www.wikidata.org/entity/Q65123089,One Piece: Pirate Warriors 4,crowd-combat video game,Teen,,2025
http://www.wikidata.org/entity/Q24863799,7'scarlet,визуальная новелла,Teen,,2025
http://www.wikidata.org/entity/Q24863799,7'scarlet,отомэ-игра,Teen,,2025
http://www.wikidata.org/entity/Q85863730,Guilty Gear -Strive-,файтинг,Teen,PEGI 12,2025
http://www.wikidata.org/entity/Q85863730,Guilty Gear -Strive-,airdasher,Teen,PEGI 12,2025
http://www.wikidata.org/entity/Q29344737,Bendy And the ink machine,приключенческая компьютерная игра,Teen,PEGI 12,2025
http://www.wikidata.org/entity/Q29344737,Bendy And the ink machine,survival horror,Teen,PEGI 12,2025
http://www.wikidata.org/entity/Q30749509,Metroid Prime 4: Beyond,шутер от первого лица,Teen,,2025
http://www.wikidata.org/entity/Q30749509,Metroid Prime 4: Beyond,приключенческий экшен,Teen,,2025
http://www.wikidata.org/entity/Q30749509,Metroid Prime 4: Beyond,метроидвания,Teen,,2025
http://www.wikidata.org/entity/Q4782721,Aquapazza: Aquaplus Dream Match,файтинг,Teen,,2025
http://www.wikidata.org/entity/Q4782721,Aquapazza: Aquaplus Dream Match,кроссовер,Teen,,2025
http://www.wikidata.org/entity/Q113286428,Crowns and Pawns: Kingdom of Deceit,приключенческая компьютерная игра,для всех старше 10 лет,,2025
http://www.wikidata.org/entity/Q113366726,Horgihugh and Friends,shoot ’em up,для всех старше 10 лет,,2025
http://www.wikidata.org/entity/Q99397854,Hogwarts Legacy,компьютерная ролевая игра,Teen,PEGI 12,2025
http://www.wikidata.org/entity/Q99397854,Hogwarts Legacy,action RPG,Teen,PEGI 12,2025
http://www.wikidata.org/entity/Q114995908,Dave the Diver,приключенческая компьютерная игра,для всех старше 10 лет,,2025
